epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,0.6422,0.4115,0.728,0.845,0.8408,0.8391,0.8397,0.8443
2,0.3851,0.3931,0.8538,0.857,0.8562,0.8502,0.8497,0.8549
3,0.2498,0.4438,0.9049,0.8525,0.8488,0.8461,0.8461,0.8511
4,0.1516,0.551,0.9484,0.8382,0.8347,0.8315,0.8323,0.837
5,0.0876,0.6536,0.9695,0.8412,0.8356,0.8365,0.8359,0.8409
