condition,description,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
S1,Imbalanced + Class Weighting,0.8423,0.8415,0.8421,0.8394,0.8432,0.0139,0.0119,0.0153,0.0143,0.0143
S2,Random Undersampling,0.8487,0.8457,0.8487,0.8461,0.8494,0.0161,0.0152,0.0145,0.0155,0.0158
