combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
S1,best_S1,S1,1,1,0.7957,0.4692,0.8288,0.8309,0.8337,0.8272,0.8307,False
S1,best_S1,S1,1,2,0.4198,0.3844,0.8514,0.8475,0.8521,0.8484,0.8519,True
S1,best_S1,S1,1,3,0.2911,0.4537,0.857,0.8543,0.8547,0.8515,0.8556,False
S1,best_S1,S1,1,4,0.1973,0.4331,0.8664,0.8644,0.8689,0.865,0.8674,False
S1,best_S1,S1,1,5,0.1286,0.5351,0.8514,0.8494,0.8508,0.8494,0.8523,False
S1,best_S1,S1,2,1,0.7809,0.4854,0.8119,0.8172,0.8132,0.8059,0.8109,False
S1,best_S1,S1,2,2,0.4291,0.3826,0.8467,0.8462,0.8487,0.845,0.8485,True
S1,best_S1,S1,2,3,0.308,0.388,0.857,0.8555,0.8603,0.8554,0.8582,False
S1,best_S1,S1,2,4,0.2087,0.4542,0.8504,0.8461,0.8474,0.8465,0.8501,False
S1,best_S1,S1,2,5,0.1237,0.5505,0.8551,0.8509,0.8544,0.852,0.8556,False
S1,best_S1,S1,3,1,0.7878,0.4024,0.8476,0.843,0.8445,0.8428,0.8471,False
S1,best_S1,S1,3,2,0.4459,0.4216,0.8325,0.8493,0.8381,0.8323,0.837,False
S1,best_S1,S1,3,3,0.3102,0.3689,0.8608,0.8581,0.8612,0.8582,0.8622,True
S1,best_S1,S1,3,4,0.2072,0.4392,0.8617,0.8587,0.8634,0.859,0.8626,False
S1,best_S1,S1,3,5,0.1274,0.5158,0.8467,0.8426,0.8427,0.8424,0.8471,False
S1,best_S1,S1,3,6,0.0721,0.6308,0.8542,0.8513,0.8503,0.8505,0.8544,False
S1,best_S1,S1,4,1,0.7777,0.4788,0.8089,0.8087,0.8052,0.8064,0.809,False
S1,best_S1,S1,4,2,0.4118,0.4306,0.8277,0.8259,0.8212,0.8221,0.8259,True
S1,best_S1,S1,4,3,0.2786,0.4674,0.8267,0.8271,0.8304,0.8258,0.8283,False
S1,best_S1,S1,4,4,0.1843,0.5283,0.8371,0.8344,0.8374,0.8354,0.8376,False
S1,best_S1,S1,4,5,0.1172,0.6762,0.8277,0.8248,0.8268,0.8254,0.8283,False
S1,best_S1,S1,5,1,0.7511,0.4951,0.8107,0.8079,0.8066,0.8045,0.8094,False
S1,best_S1,S1,5,2,0.4055,0.4837,0.8249,0.83,0.8273,0.8235,0.8273,True
S1,best_S1,S1,5,3,0.2861,0.4967,0.8343,0.8338,0.8334,0.8312,0.8359,False
S1,best_S1,S1,5,4,0.1869,0.6196,0.8352,0.8306,0.8312,0.8309,0.8353,False
S1,best_S1,S1,5,5,0.1119,0.7706,0.8202,0.82,0.8152,0.8152,0.8206,False
S2,best_S2,S2,1,1,0.8086,0.437,0.8241,0.818,0.8211,0.8177,0.823,False
S2,best_S2,S2,1,2,0.437,0.4112,0.8467,0.8428,0.8475,0.8439,0.847,True
S2,best_S2,S2,1,3,0.2909,0.4991,0.8213,0.8281,0.8091,0.8139,0.8183,False
S2,best_S2,S2,1,4,0.2128,0.4669,0.8674,0.8638,0.8678,0.8651,0.8673,False
S2,best_S2,S2,1,5,0.1292,0.5393,0.8636,0.86,0.8641,0.8614,0.8635,False
S2,best_S2,S2,2,1,0.82,0.484,0.8119,0.8136,0.8166,0.8093,0.8121,False
S2,best_S2,S2,2,2,0.4361,0.3866,0.8523,0.8502,0.846,0.8468,0.8507,False
S2,best_S2,S2,2,3,0.3101,0.3801,0.8645,0.8609,0.8629,0.8617,0.865,True
S2,best_S2,S2,2,4,0.2101,0.4462,0.8551,0.8513,0.8544,0.8509,0.855,False
S2,best_S2,S2,2,5,0.1292,0.5414,0.8514,0.8481,0.8494,0.8486,0.8518,False
S2,best_S2,S2,2,6,0.0682,0.6961,0.8542,0.8497,0.8517,0.8505,0.8547,False
S2,best_S2,S2,3,1,0.7946,0.4269,0.8354,0.8321,0.8304,0.8311,0.8354,False
S2,best_S2,S2,3,2,0.4271,0.3538,0.8692,0.8649,0.8665,0.8656,0.8695,True
S2,best_S2,S2,3,3,0.3002,0.3658,0.8655,0.8629,0.8663,0.8635,0.8665,False
S2,best_S2,S2,3,4,0.207,0.4762,0.8542,0.8593,0.8587,0.8535,0.8568,False
S2,best_S2,S2,3,5,0.1144,0.5095,0.8692,0.8644,0.8664,0.8652,0.8695,False
S2,best_S2,S2,4,1,0.7959,0.4533,0.8164,0.812,0.8142,0.8118,0.8154,False
S2,best_S2,S2,4,2,0.4065,0.4269,0.8277,0.8246,0.8282,0.8258,0.8282,True
S2,best_S2,S2,4,3,0.2927,0.4724,0.8343,0.8333,0.8366,0.8332,0.8354,False
S2,best_S2,S2,4,4,0.1788,0.5218,0.8239,0.8204,0.8204,0.8204,0.8237,False
S2,best_S2,S2,4,5,0.1153,0.6648,0.8239,0.822,0.8175,0.819,0.8228,False
S2,best_S2,S2,5,1,0.7972,0.5176,0.791,0.7907,0.786,0.7866,0.791,False
S2,best_S2,S2,5,2,0.425,0.4469,0.8352,0.8353,0.8385,0.8337,0.8371,True
S2,best_S2,S2,5,3,0.2977,0.4704,0.8296,0.829,0.8315,0.8275,0.8316,False
S2,best_S2,S2,5,4,0.2018,0.5684,0.8333,0.8305,0.8328,0.8302,0.835,False
S2,best_S2,S2,5,5,0.1285,0.6632,0.8315,0.8275,0.8308,0.828,0.8327,False
