combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,2,3,0.37,0.8598,0.8571,0.8601,0.8558,0.8601
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,3,3,0.3543,0.8664,0.8661,0.8702,0.8649,0.868
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,4,2,0.4187,0.8343,0.8312,0.8302,0.8305,0.8338
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,5,2,0.4176,0.8427,0.8422,0.8462,0.841,0.8444
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,1,2,0.3852,0.8514,0.8473,0.851,0.8486,0.8518
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,2,2,0.3635,0.8589,0.8558,0.8607,0.8566,0.8596
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,3,3,0.3611,0.8674,0.8648,0.8686,0.8652,0.8686
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,4,2,0.4369,0.8324,0.8298,0.8286,0.8292,0.8323
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,5,2,0.4581,0.8352,0.8314,0.8325,0.8315,0.836
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,1,3,0.4032,0.8636,0.8603,0.8653,0.861,0.864
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,2,2,0.3898,0.8561,0.8525,0.8556,0.8519,0.8558
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,3,3,0.3808,0.8683,0.8644,0.865,0.8629,0.8675
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,4,2,0.418,0.8315,0.8292,0.8337,0.8299,0.8324
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,5,2,0.428,0.8427,0.8386,0.8415,0.8394,0.8437
