fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,3,0.4032,0.8608,0.8582,0.8635,0.8587,0.8615
2,2,0.3698,0.8598,0.8583,0.8635,0.8587,0.8607
3,3,0.3629,0.8617,0.8568,0.8574,0.8571,0.8617
4,2,0.4263,0.8258,0.8214,0.8248,0.8226,0.8261
5,2,0.4519,0.8211,0.8193,0.8194,0.8175,0.8222
