combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,6,0.0623,0.6705,0.8617,0.8585,0.8563,0.8562,0.8607,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,1,0.7356,0.4393,0.8202,0.8155,0.8194,0.8166,0.8202,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,2,0.3919,0.4135,0.8267,0.8245,0.8283,0.8248,0.828,True
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,3,0.2641,0.4603,0.8305,0.8265,0.8266,0.8264,0.8301,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,4,0.1697,0.6293,0.8239,0.8211,0.8184,0.8195,0.8233,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,5,0.1084,0.7095,0.822,0.8175,0.8191,0.8182,0.822,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,1,0.7069,0.4828,0.8107,0.8068,0.8041,0.8037,0.8089,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,2,0.3794,0.4086,0.8522,0.8486,0.852,0.8489,0.8528,True
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,3,0.2546,0.5197,0.8239,0.8246,0.8231,0.8209,0.8257,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,4,0.1756,0.6195,0.8107,0.8159,0.8131,0.8093,0.8139,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,5,0.1041,0.7284,0.8145,0.8142,0.8133,0.8113,0.8165,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,1,0.7278,0.423,0.8391,0.8357,0.8396,0.8364,0.8402,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,2,0.3939,0.3921,0.8504,0.8538,0.8555,0.8498,0.8527,True
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,3,0.2694,0.4377,0.8495,0.8454,0.8472,0.845,0.8486,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,4,0.1737,0.4782,0.8523,0.8506,0.8544,0.8511,0.8533,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,5,0.1098,0.5912,0.8373,0.8358,0.8344,0.8348,0.8379,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,1,0.7111,0.4136,0.841,0.838,0.8413,0.8374,0.8408,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,2,0.3952,0.3984,0.8532,0.8572,0.8605,0.8527,0.8548,True
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,3,0.2692,0.421,0.8561,0.8565,0.8606,0.8551,0.8576,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,4,0.1716,0.4584,0.8532,0.8498,0.8518,0.8505,0.8538,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,5,0.1026,0.5896,0.8429,0.8385,0.8404,0.8391,0.8427,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,1,0.7471,0.4777,0.8109,0.827,0.8195,0.8121,0.815,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,2,0.4134,0.3603,0.8627,0.8613,0.8634,0.8604,0.8643,True
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,3,0.2802,0.3645,0.8608,0.8559,0.8587,0.8564,0.8607,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,4,0.1808,0.4499,0.8476,0.8489,0.845,0.8437,0.849,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,5,0.1025,0.4836,0.8579,0.8539,0.8548,0.8542,0.8583,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,1,0.7089,0.4417,0.823,0.8226,0.8272,0.8219,0.8241,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,2,0.3921,0.4216,0.8249,0.8203,0.8223,0.8207,0.8244,True
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,3,0.2613,0.5124,0.8211,0.8185,0.8162,0.8168,0.8203,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,4,0.1609,0.5665,0.8277,0.8231,0.8235,0.8222,0.8262,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,5,0.0975,0.7513,0.8267,0.8254,0.8202,0.8203,0.8244,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,1,0.7256,0.5053,0.8023,0.8003,0.7913,0.7926,0.7987,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,2,0.3776,0.4752,0.8173,0.817,0.8128,0.8132,0.8178,True
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,3,0.257,0.5445,0.8286,0.8264,0.8219,0.8237,0.8278,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,4,0.1727,0.6306,0.8154,0.8169,0.8174,0.8135,0.8179,False
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,5,0.1042,0.808,0.8051,0.8054,0.8013,0.8009,0.8059,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,1,0.8582,0.4456,0.8184,0.8162,0.82,0.8156,0.8198,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,2,0.4383,0.3998,0.8476,0.8432,0.844,0.8413,0.8459,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,3,0.3167,0.387,0.8438,0.8436,0.8464,0.8421,0.8459,True
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,4,0.2077,0.4596,0.8579,0.8538,0.8578,0.8551,0.8583,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,5,0.1464,0.572,0.857,0.8526,0.8564,0.8531,0.8565,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,6,0.1041,0.622,0.8598,0.8562,0.8607,0.8575,0.8604,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,1,0.8207,0.4343,0.8325,0.8314,0.8347,0.831,0.8341,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,2,0.442,0.3764,0.8561,0.8519,0.8533,0.8521,0.8556,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,3,0.3189,0.375,0.8702,0.8662,0.8693,0.8669,0.8702,True
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,4,0.2224,0.4297,0.8598,0.8555,0.8593,0.8565,0.8602,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,5,0.1453,0.4927,0.8598,0.8562,0.8566,0.8559,0.8593,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,6,0.0898,0.6581,0.8457,0.8416,0.8407,0.8397,0.8442,False
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,1,0.845,0.4181,0.8344,0.8334,0.8361,0.8323,0.8363,False
