combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
2,lb=1e-05_lc=1e-04_bs=32,S1,4,4,0.2072,0.4551,0.9299,0.8446,0.84,0.8433,0.8408,0.8452,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,5,0.1347,0.5323,0.9581,0.8503,0.8449,0.8432,0.8438,0.8495,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,1,0.765,0.4555,0.6556,0.8154,0.811,0.8136,0.8116,0.8167,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.4105,0.3955,0.842,0.8493,0.8452,0.8478,0.8462,0.8499,True
2,lb=1e-05_lc=1e-04_bs=32,S1,5,3,0.2854,0.4333,0.8954,0.8493,0.8469,0.8438,0.8442,0.8479,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,4,0.1787,0.4895,0.9407,0.8352,0.8325,0.8315,0.8313,0.8362,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,5,0.1245,0.5424,0.9612,0.8427,0.8393,0.8394,0.8393,0.843,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,1,0.6177,0.4251,0.7372,0.8297,0.8257,0.8273,0.8264,0.8297,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,2,0.4198,0.4236,0.8529,0.8325,0.8292,0.8283,0.8285,0.8318,True
3,lb=1e-05_lc=1e-03_bs=16,S1,1,3,0.2619,0.6618,0.9138,0.8495,0.8469,0.848,0.8471,0.8502,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,4,0.156,0.8259,0.9549,0.8373,0.8338,0.8377,0.8348,0.838,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,5,0.0936,1.1223,0.9753,0.8278,0.8251,0.8241,0.8246,0.8279,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,1,0.6088,0.4612,0.7417,0.8166,0.8165,0.8122,0.8132,0.8172,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,2,0.4191,0.4274,0.8503,0.841,0.8368,0.8378,0.837,0.8404,True
3,lb=1e-05_lc=1e-03_bs=16,S1,2,3,0.269,0.5859,0.9117,0.8241,0.8288,0.822,0.821,0.8256,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,4,0.166,0.9148,0.9502,0.8448,0.8426,0.8403,0.8411,0.8441,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,5,0.1121,1.0197,0.9696,0.8504,0.8512,0.8537,0.8491,0.8524,False
3,lb=1e-05_lc=1e-03_bs=16,S1,3,1,0.6112,0.4368,0.742,0.8391,0.8349,0.8368,0.8357,0.839,False
3,lb=1e-05_lc=1e-03_bs=16,S1,3,2,0.4155,0.4123,0.8533,0.857,0.855,0.8602,0.8547,0.8576,True
