combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,1,2,0.3794,0.8467,0.8487,0.8517,0.846,0.8486
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,2,3,0.3903,0.857,0.8539,0.8569,0.8528,0.857
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,3,3,0.392,0.8579,0.8535,0.8548,0.854,0.8583
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,4,2,0.4298,0.8362,0.8374,0.8424,0.8347,0.8366
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,5,2,0.4275,0.8296,0.8276,0.8301,0.8258,0.8307
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,1,3,0.3873,0.8561,0.852,0.8556,0.8518,0.8554
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,2,3,0.38,0.8542,0.8508,0.8539,0.8517,0.855
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,3,2,0.3722,0.8627,0.8582,0.8575,0.8577,0.8623
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,4,2,0.4364,0.8315,0.8293,0.8307,0.8294,0.8322
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,5,2,0.4155,0.8362,0.8332,0.8365,0.8328,0.8368
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,1,2,0.3953,0.8476,0.8476,0.8517,0.8464,0.8491
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,2,2,0.3802,0.8532,0.8544,0.8577,0.852,0.8551
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,3,3,0.3534,0.8608,0.8588,0.8608,0.8584,0.862
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,4,2,0.3981,0.8437,0.8404,0.8415,0.8406,0.8432
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,5,2,0.4414,0.8296,0.8274,0.8279,0.8248,0.8296
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,1,2,0.3925,0.8476,0.8426,0.8455,0.8432,0.8473
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,2,2,0.3919,0.8438,0.8437,0.8483,0.8425,0.8452
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,3,2,0.3685,0.8645,0.8607,0.8613,0.8608,0.8649
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,4,1,0.4463,0.8183,0.8144,0.8194,0.8151,0.8178
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,5,3,0.4725,0.8296,0.8301,0.8336,0.8276,0.8312
