combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
S1,best_S1,S1,1,2,0.3948,0.8457,0.8457,0.8501,0.844,0.847
S1,best_S1,S1,2,2,0.3829,0.8551,0.8543,0.8551,0.8507,0.8546
S1,best_S1,S1,3,2,0.3594,0.8551,0.8549,0.8584,0.8533,0.857
S1,best_S1,S1,4,2,0.4457,0.8315,0.8316,0.825,0.8266,0.8298
S1,best_S1,S1,5,3,0.4582,0.8446,0.8402,0.8419,0.8407,0.8447
S2,best_S2,S2,1,3,0.3879,0.8589,0.8549,0.8595,0.8561,0.859
S2,best_S2,S2,2,2,0.3676,0.8551,0.8535,0.8568,0.8535,0.8564
S2,best_S2,S2,3,3,0.3639,0.8608,0.8557,0.856,0.8552,0.8602
S2,best_S2,S2,4,3,0.4677,0.8239,0.8247,0.8166,0.8173,0.8213
S2,best_S2,S2,5,1,0.4645,0.8098,0.8078,0.8104,0.8072,0.8115
