combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
110,"ng=[2, 3, 4]_f=256_dr=0.5_relu",S1,3,2,0.3634,0.8589,0.8542,0.8548,0.8544,0.8592
110,"ng=[2, 3, 4]_f=256_dr=0.5_relu",S1,4,2,0.4088,0.8315,0.829,0.8327,0.8299,0.8323
110,"ng=[2, 3, 4]_f=256_dr=0.5_relu",S1,5,3,0.4487,0.839,0.8358,0.838,0.836,0.8401
111,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",S1,1,3,0.3903,0.8542,0.8528,0.855,0.8523,0.8558
111,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",S1,2,3,0.3721,0.8627,0.8608,0.8651,0.8609,0.8639
111,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",S1,3,2,0.3496,0.8608,0.8566,0.8599,0.8575,0.8618
111,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",S1,4,2,0.4492,0.8277,0.8274,0.8209,0.8227,0.8262
111,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",S1,5,2,0.4364,0.8258,0.8273,0.8303,0.8247,0.8277
112,"ng=[2, 3, 4]_f=256_dr=0.5_elu",S1,1,2,0.3789,0.8448,0.8445,0.8488,0.8434,0.8462
112,"ng=[2, 3, 4]_f=256_dr=0.5_elu",S1,2,2,0.3594,0.8561,0.8521,0.8562,0.853,0.8563
112,"ng=[2, 3, 4]_f=256_dr=0.5_elu",S1,3,3,0.3639,0.8608,0.8588,0.8623,0.8586,0.8623
112,"ng=[2, 3, 4]_f=256_dr=0.5_elu",S1,4,2,0.4164,0.8286,0.8265,0.8245,0.8251,0.8279
112,"ng=[2, 3, 4]_f=256_dr=0.5_elu",S1,5,2,0.4471,0.838,0.8348,0.8321,0.8333,0.8376
