conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_keyword
1877137704019689965,Wed Jan 08 23:37:58 +0000 2025,0,Makan bergizi gratis generasi berprestasi. Yong bersama sukseskan MBG #UMKMDukungMBG https://t.co/aAiy6Z1CPI,1877137704019689965,https://pbs.twimg.com/media/GgzuyinaMAAFjN9.jpg,,in,,0,0,0,https://x.com/undefined/status/1877137704019689965,1699124578877071361,;;;;;;;,mbg
1877141861003047154,Wed Jan 08 23:54:29 +0000 2025,0,Dukungan UMKM pada Makan Bergizi Gratis sangat berarti dalam bantu sediakan makanan sehat dengan harga bersahabat #UMKMDukungMBG https://t.co/FFGBgJQhLk,1877141861003047154,https://pbs.twimg.com/media/GgzykW2aMAQXuH-.jpg,,in,,0,0,0,https://x.com/undefined/status/1877141861003047154,1689874506029121536,;;;;;;;,mbg
1877131148347818328,Wed Jan 08 23:11:55 +0000 2025,0,Obrolan berangkat sekolah anak jaman now: X: ntar siang dikasi lauk apa sama SPPG dapur MBG lur? Y: paling kayak kemaren Z: mang kemaren makan apa? Y: mang lu lupa? X: iya kan kemaren tanggal merah XYZ: rugi yah tiap ada libur idup kita jadi gak bergizi,1877131148347818328,,,in,,0,0,0,https://x.com/undefined/status/1877131148347818328,382984747,;;;;;;;,mbg
1877126999820361756,Wed Jan 08 22:55:26 +0000 2025,0,Dindik Lebak Belum Laksanakan Program MBG https://t.co/tipWJMcdRm,1877126999820361756,,,in,,0,0,0,https://x.com/undefined/status/1877126999820361756,558371444,;;;;;;;,mbg
1877008799266988490,Wed Jan 08 23:51:47 +0000 2025,115,@kozirama demi terciptanya Keadilan sosial bagi seluruh rakyat indonesia wajib berisik sih soalnya pejabrut indo udah terlalu keenakan dimaklumin terus. **sorry repost rada emosional soalnya liat postingan soal MBG,1877141181231984978,,kozirama,in,,0,1,10,https://x.com/undefined/status/1877141181231984978,1736687830615949312,;;;;;;;,mbg
1878085437237113051,Sat Jan 11 14:23:56 +0000 2025,4,Perdana Menteri (PM) Jepang Ishiba Shigeru menawarkan paket kerja sama untuk mendukung program makan bergizi gratis (MBG) yang menjadi program prioritas Presiden Prabowo Subianto. Nah gengs. Selain ikut mendukung program Makan Bergizi Gratis (MBG) Presiden @prabowo juga https://t.co/UaFUfpZ8tH,1878085437237113051,https://pbs.twimg.com/ext_tw_video_thumb/1878085344110993409/pu/img/v-vSZdpdgMa36yEM.jpg,,in,,0,0,3,https://x.com/undefined/status/1878085437237113051,786549338818224128,;;;;;;;,mbg
1878080633089777672,Sat Jan 11 14:04:50 +0000 2025,4095,Negara asing yg mau biayai MBG: Cina🇨🇳 &amp; Jepang🇯🇵 Masalahnya what's in it for them? MBG ngga ada return on investment-nya sama sekali dlm bentuk uang Ini mesti hati-hati karena gaada yg namanya makan siang gratis. Soalnya gajelas terms-nya apa tapi pasti ada timbal baliknya,1878080633089777672,,,in,,42,62,1065,https://x.com/undefined/status/1878080633089777672,1565293951,;;;;;;,mbg
1877959500034109945,Sat Jan 11 15:34:37 +0000 2025,1,@tham878 pak pramono itu nyindir program makan bergizi gratis pak prabowo kalo mbg presiden 10rb per orang subsidi pak pram 12rb per orang ,1878103225292718269,,tham878,in,,0,0,0,https://x.com/undefined/status/1878103225292718269,1834487947686805505,;;;;;;;,mbg
1878059142159688124,Sat Jan 11 12:39:26 +0000 2025,27,Andaikata Mega-Pro 2009 win. MBG ada lebih dulu. N Prabowo yang jadi Wapres dimana dia ngurusin Stunting akan bener2 asistensi banget program ini. Kalo ada jabatan semisal Menko Pangan saat ntu atau Kesra (PMK sekarang) pasti Ketum Gerindra (saat ntu) yang jabat. Jalan mulus tuh,1878059142159688124,,,in,,0,2,3,https://x.com/undefined/status/1878059142159688124,2862109627,;;;;;;;,mbg
1878225738660552733,Sat Jan 11 23:41:26 +0000 2025,24,Alhamdulillah..Jepang suport Indonesia untuk Swasembada Pangan dan Energi Indonesia dan mendukung Program MBG.. https://t.co/SC7Hr7ebx0,1878225738660552733,https://pbs.twimg.com/media/GhDMV4obcAAICrJ.jpg,,in,,1,8,4,https://x.com/undefined/status/1878225738660552733,1839792898520547329,;;;;;;;,mbg
