epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,0.7419,0.414,0.6718,0.848,0.8454,0.8492,0.8449,0.8487
2,0.3912,0.42,0.8539,0.8488,0.8482,0.8435,0.8412,0.8468
3,0.2713,0.4108,0.9003,0.8495,0.8465,0.8452,0.8453,0.8499
4,0.1785,0.5288,0.9421,0.854,0.8505,0.848,0.8474,0.8523
5,0.1129,0.6595,0.9639,0.8382,0.8342,0.8321,0.8331,0.8378
6,0.0674,0.7981,0.9778,0.8405,0.8369,0.8334,0.8349,0.8399
