condition,description,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
S1,Imbalanced + Class Weighting,0.8464,0.8453,0.8461,0.8431,0.8466,0.0087,0.0088,0.0119,0.0094,0.0096
S2,Random Undersampling,0.8417,0.8393,0.8399,0.8379,0.8417,0.0209,0.0196,0.0216,0.0212,0.0209
