fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,2,0.3824,0.8523,0.8484,0.8529,0.8491,0.8526
2,2,0.3901,0.8438,0.8398,0.8405,0.8399,0.8445
3,2,0.3693,0.8664,0.8647,0.8647,0.8639,0.8668
4,2,0.4062,0.8427,0.8403,0.8448,0.8408,0.8438
5,2,0.4317,0.8371,0.8323,0.8343,0.8331,0.8378
